Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Model,Forecast_Units,PI80_Lower_Units,PI80_Upper_Units,PI95_Lower_Units,PI95_Upper_Units,Interval_Method,Demand_Profile
2026-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,449.41666666668203,410.60049200315785,488.2328413302062,390.05245034988195,508.7808829834821,Native fable 80% and 95% model intervals,Smooth
2026-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,530.416666666682,491.6004920031578,569.2328413302062,471.05245034988184,589.7808829834821,Native fable 80% and 95% model intervals,Smooth
2026-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,541.416666666682,502.6004920031578,580.2328413302062,482.05245034988184,600.7808829834821,Native fable 80% and 95% model intervals,Smooth
2026-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,523.416666666682,484.6004920031578,562.2328413302062,464.05245034988184,582.7808829834821,Native fable 80% and 95% model intervals,Smooth
2026-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,509.41666666668203,470.60049200315785,548.2328413302062,450.05245034988195,568.7808829834821,Native fable 80% and 95% model intervals,Smooth
2026-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,560.416666666682,521.6004920031578,599.2328413302062,501.05245034988184,619.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,488.41666666668203,449.60049200315785,527.2328413302062,429.05245034988195,547.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,425.41666666668203,386.60049200315785,464.2328413302062,366.05245034988195,484.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,423.41666666668203,384.60049200315785,462.2328413302062,364.05245034988195,482.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,441.41666666668203,402.60049200315785,480.2328413302062,382.05245034988195,500.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,424.41666666668203,385.60049200315785,463.2328413302062,365.05245034988195,483.7808829834821,Native fable 80% and 95% model intervals,Smooth
2027-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,467.41666666668203,428.60049200315785,506.2328413302062,408.05245034988195,526.7808829834821,Native fable 80% and 95% model intervals,Smooth
