Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,23.452380952380956,41.79513528310841,34.88095238095238,1.4744479195420568,1.5393930211702416,0.07384072580645161,0.4523809523809524,0.8095238095238095,73.4169888873632,112.28159517050769,985,1465,73367,19840,19,34,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,23.618432037545457,50.35888927291449,41.68176732804041,1.775444302127311,1.8945005410645528,0.08823761228718228,0.5238095238095238,0.7619047619047619,85.13494053191414,130.20265571413233,991.9741455769092,1750.6342277776967,106512.7446096698,19840,22,32,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Mean,31.134750787435518,61.08040956046137,53.46005496844578,2.2963137669862284,2.314837313787875,0.1131714873323953,0.6666666666666666,0.9285714285714286,135.52579000230463,207.26880956052426,1307.6595330722912,2245.322308674723,156694.2901470954,19840,28,39,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,-17.045359814753485,82.36196435706013,72.33309054680933,3.0118727377992673,2.9157192606214375,0.15312448603659223,0.7619047619047619,0.9285714285714286,199.9569205627914,305.8077203441006,-715.9051122196463,3037.98980296599,284906.71325565304,19840,32,39,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Naive,-17.047619047619058,82.36243942824562,72.33333333333334,3.0118762637683845,2.9157195334222763,0.153125,0.6904761904761905,0.9285714285714286,180.38090909974468,275.86879438897523,-716,3038,284910,19840,29,39,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,-21.990297209453864,89.59751717368484,78.42767608891351,3.2596904295556786,3.154717603593662,0.16602633043015963,0.7380952380952381,0.9285714285714286,197.16088565626112,301.5315539660529,-923.5924827970624,3293.962395734367,337164.0335149275,19840,31,39,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ETS,38.97542298714809,73.257566151411993,53.891738890575745,0.7886391760213488,0.49349182640652645,0.09471703700900454,0.9285714285714286,1,312.9567890588124,478.6261058577934,1636.9677654602187,2263.4530334041815,225400.18193399714,23897,39,42,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ARIMA,39.13757670353725,73.3009057320956,53.9407651607651,0.7893423414944358,0.49380591475426033,0.09480320277658845,0.9285714285714286,1,306.8196297867925,469.2401307133337,1643.7782215485659,2265.512136752134,225666.95680811378,23897,39,42,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Mean,39.137576703537285,73.30090573209569,53.940765160765174,0.7893423414944367,0.49380591475426083,0.0948032027765886,0.9285714285714286,1,312.484076817831,477.9031548722192,1643.7782215485665,2265.512136752138,225666.9568081142,23897,39,42,7,42,6,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Naive,-42.88095238095237,87.36172748161194,67.5,1.0031022732751416,0.6068662998631059,0.11863413817634012,1,1,736.1713792681581,1081.1201370863448,-1801,2835,320547,23897,42,42,7,42,6,Smooth
