Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Mean_Pinball_Loss,Quantile_Crossings,Raw_Quantile_Crossings,Rearranged_Points,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile,Within_2pct_of_Best,Complexity_Rank,Raw_Best_Model,Selected_Model,Selected,Near_Tie,Raw_Winner_Margin_Pct,Selection_Rationale,RMSE_Rank
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,TiRex2,7.134509132021949,40.00678568803347,31.976925077892485,1.3413062507450328,1.452843047015058,0.067693087362474,0.7857142857142857,,113.39181809198288,,12.5701488837994,0.0,0.0,0.0,299.6493835449219,1343.0308532714844,67222.80184570607,19840.0,33,0,7,42,6,Smooth,True,5,TiRex2,TiRex2,True,False,0.04470115667427534,Lowest rolling-origin RMSE,1
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,23.452380952380956,41.79513528310841,34.88095238095238,1.4744479195420568,1.5393930211702416,0.0738407258064516,0.4523809523809524,0.8095238095238095,73.4169888873632,112.28159517050769,,,,,985.0,1465.0,73367.0,19840.0,19,34,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,2
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,23.618432037545457,50.35888927291449,41.68176732804041,1.775444302127311,1.8945005410645528,0.0882376122871822,0.5238095238095238,0.7619047619047619,85.13494053191414,130.20265571413233,,,,,991.9741455769092,1750.6342277776969,106512.7446096698,19840.0,22,32,7,42,6,Smooth,False,4,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,3
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Mean,31.13475078743552,61.08040956046137,53.46005496844578,2.2963137669862284,2.314837313787875,0.1131714873323953,0.6666666666666666,0.9285714285714286,135.52579000230463,207.26880956052423,,,,,1307.6595330722912,2245.322308674723,156694.2901470954,19840.0,28,39,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,4
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,-17.045359814753485,82.36196435706013,72.33309054680933,3.0118727377992673,2.9157192606214375,0.1531244860365922,0.7619047619047619,0.9285714285714286,199.9569205627914,305.8077203441006,,,,,-715.9051122196463,3037.98980296599,284906.71325565304,19840.0,32,39,7,42,6,Smooth,False,3,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,5
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Naive,-17.047619047619058,82.36243942824562,72.33333333333334,3.0118762637683845,2.9157195334222763,0.153125,0.6904761904761905,0.9285714285714286,180.38090909974468,275.86879438897523,,,,,-716.0,3038.0,284910.0,19840.0,29,39,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,6
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,-21.990297209453864,89.59751717368484,78.42767608891351,3.2596904295556786,3.154717603593662,0.1660263304301596,0.7380952380952381,0.9285714285714286,197.16088565626112,301.5315539660529,,,,,-923.5924827970624,3293.962395734367,337164.0335149275,19840.0,31,39,7,42,6,Smooth,False,2,TiRex2,TiRex2,False,False,0.04470115667427534,Candidate,7
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,TiRex2,-17.68873523530506,71.2672720431204,54.95624069940476,0.8106133202223091,0.4903517180742022,0.0965879444857095,0.9047619047619048,,205.77779424758185,,21.674617617975464,0.0,0.0,0.0,-742.9268798828125,2308.162109375,213319.0107076615,23897.0,38,0,7,42,6,Smooth,True,5,TiRex2,TiRex2,True,False,0.027927182439189784,Lowest rolling-origin RMSE,1
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ETS,38.97542298714809,73.257566151412,53.891738890575745,0.7886391760213488,0.4934918264065264,0.0947170370090045,0.9285714285714286,1.0,312.9567890588124,478.6261058577934,,,,,1636.9677654602187,2263.4530334041815,225400.1819339971,23897.0,39,42,7,42,6,Smooth,False,3,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,2
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ARIMA,39.13757670353725,73.3009057320956,53.9407651607651,0.7893423414944358,0.4938059147542603,0.0948032027765884,0.9285714285714286,1.0,306.8196297867925,469.2401307133337,,,,,1643.778221548566,2265.512136752134,225666.95680811375,23897.0,39,42,7,42,6,Smooth,False,4,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,3
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Mean,39.137576703537285,73.30090573209569,53.940765160765174,0.7893423414944367,0.4938059147542608,0.0948032027765886,0.9285714285714286,1.0,312.484076817831,477.9031548722192,,,,,1643.7782215485663,2265.512136752138,225666.9568081142,23897.0,39,42,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,4
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Naive,-42.88095238095237,87.36172748161194,67.5,1.0031022732751416,0.6068662998631059,0.1186341381763401,1.0,1.0,736.1713792681581,1081.1201370863448,,,,,-1801.0,2835.0,320547.0,23897.0,42,42,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,5
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Drift,-41.12378108717316,90.0925028098839,67.43482125869734,1.0003533002478495,0.624713670436783,0.1185195837496459,1.0,1.0,806.0530809259469,1147.7161177014,,,,,-1727.1988056612724,2832.262492865289,340899.6806270553,23897.0,42,42,7,42,6,Smooth,False,2,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,6
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,53.571428571428584,133.0356200063584,73.42857142857142,1.1193953684207965,0.9705902842698364,0.1290538561325689,0.9523809523809524,0.9523809523809524,361.64275145287706,553.0848599263338,,,,,2250.0,3084.0,743336.0,23897.0,40,40,7,42,6,Smooth,False,1,TiRex2,TiRex2,False,False,0.027927182439189784,Candidate,7
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,TiRex2,-24.04461669921875,67.60018048005391,58.36372884114584,0.4635328930715865,0.27170673818548,0.0918562771238898,0.9285714285714286,,287.68956066313245,,22.6658854005198,0.0,0.0,0.0,-1009.8739013671876,2451.276611328125,191930.94483930615,26686.0,39,0,7,42,6,Smooth,True,5,TiRex2,TiRex2,True,False,0.19264656506454617,Lowest rolling-origin RMSE,1
