Product_Group_Code,Product_Group,SKU_Description,SKU,Trend_Strength,Seasonal_Strength,Remainder_SD,Seasonal_Cycles,Evidence_Quality,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,0.30127687827904936,0.8469437203604527,21.355234960064667,3,Limited: fewer than four annual cycles,Smooth
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,0.06787997256586975,0.26461116693778375,91.39078776794464,3,Limited: fewer than four annual cycles,Smooth
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,0.11932565170729204,0.08558276085021654,150.63739534497225,3,Limited: fewer than four annual cycles,Smooth
BRG,Industrial Bearings,Industrial Bearings Heavy Duty,BRG-04,0.024540989842073424,0.029425176586590274,784.0106214181844,3,Limited: fewer than four annual cycles,Erratic
BRG,Industrial Bearings,Industrial Bearings Precision,BRG-05,0.12095385278119375,0.2226197436736579,148.5868069164218,3,Limited: fewer than four annual cycles,Smooth
BRG,Industrial Bearings,Industrial Bearings High Capacity,BRG-06,0.05568845090326313,0.05226295035541639,1132.6708897559868,3,Limited: fewer than four annual cycles,Erratic
BRG,Industrial Bearings,Industrial Bearings Service Kit,BRG-07,0.029864631362022,0.04096453182936499,615.2083692195916,3,Limited: fewer than four annual cycles,Intermittent
BRG,Industrial Bearings,Industrial Bearings Premium,BRG-08,0,0.04399653702505901,1333.0306930847055,3,Limited: fewer than four annual cycles,Lumpy
CNV,Conveying Components,Conveying Components Core,CNV-01,0,0.2688425534915344,62.84531758255765,3,Limited: fewer than four annual cycles,Smooth
CNV,Conveying Components,Conveying Components Compact,CNV-02,0.0770568055795452,0.3171972368660765,94.47523628795653,3,Limited: fewer than four annual cycles,Smooth
CNV,Conveying Components,Conveying Components Standard,CNV-03,0.010811778703614161,0.006311739732697719,532.7407237059969,3,Limited: fewer than four annual cycles,Erratic
CNV,Conveying Components,Conveying Components Heavy Duty,CNV-04,0,0.21245878813930663,113.53136600081345,3,Limited: fewer than four annual cycles,Smooth
CNV,Conveying Components,Conveying Components Precision,CNV-05,0,0,760.7909966468306,3,Limited: fewer than four annual cycles,Erratic
CNV,Conveying Components,Conveying Components High Capacity,CNV-06,0.04179324377602811,0.11123416303849742,402.99014848508705,3,Limited: fewer than four annual cycles,Intermittent
CNV,Conveying Components,Conveying Components Service Kit,CNV-07,3.3731062331177064e-4,0.9957521341310611,32.68476267432821,3,Limited: fewer than four annual cycles,Intermittent
CNV,Conveying Components,Conveying Components Premium,CNV-08,2.494582744720919e-4,0,1037.79537577781,3,Limited: fewer than four annual cycles,Lumpy
