Month,Product_Group_Code,Product_Group,SKU_Description,SKU,Observed,Trend,Seasonal,Remainder,Seasonally_Adjusted,Demand_Profile
2023-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,375,378.71357567588916,-7.313045574344922,3.599469898455766,382.3130455743449,Seasonal
2023-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,420,383.7156296150278,36.08931691071551,0.19505347425666741,383.9106830892845,Seasonal
2023-09-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,462,388.71768355416646,64.94169125116127,8.34062519467227,397.0583087488387,Seasonal
2023-10-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,422,393.8286305277362,35.67433555724799,-7.502966084984223,386.325664442752,Seasonal
2023-11-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,406,398.9395775013059,23.72576066836344,-16.665338169669326,382.2742393316366,Seasonal
2023-12-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,450,403.6347371594376,47.122991086367904,-0.757728245805481,402.8770089136321,Seasonal
2024-01-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,440,408.32989681756925,-48.4235741643929,80.09367734682365,488.4235741643929,Seasonal
2024-02-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,381,412.24128874869325,-47.432105134018826,16.190816385325547,428.4321051340188,Seasonal
2024-03-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,392,416.1526806798172,-47.01746108540169,22.864780405584497,439.0174610854017,Seasonal
2024-04-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,368,419.3127274842843,-44.60324626636383,-6.709481217920484,412.60324626636384,Seasonal
2024-05-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,380,422.4727742887514,-29.052276773742854,-13.420497515008549,409.05227677374285,Seasonal
2024-06-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,423,422.3924585860547,16.28763223120126,-15.680090817255973,406.71236776879874,Seasonal
2024-07-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,480,422.31214288335804,-7.313045574344922,65.00090269098689,487.3130455743449,Seasonal
2024-08-01,BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,510,423.86166659789,36.08931691071551,50.04901649139447,473.9106830892845,Seasonal
