Product_Group_Code,Product_Group,SKU_Description,SKU,Model,ME,RMSE,MAE,MASE,RMSSE,WAPE,Coverage_80,Coverage_95,Mean_PI80_Width,Mean_PI95_Width,Error_Sum,Absolute_Error_Sum,Squared_Error_Sum,Actual_Units_Sum,Covered_80_Count,Covered_95_Count,Evaluation_Origins,Evaluation_Points,Evaluation_Horizon,Demand_Profile
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Seasonal_Naive,31.90476190476191,49.70819612402729,40.523809523809526,0.9122188228636995,0.9383834757098347,0.08646616541353383,0.6666666666666666,1,137.61931013447955,210.47057230678456,1340,1702,103778,19684,28,42,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ARIMA,14.815613674907034,49.87101927517559,41.945495283914575,0.9405622285999984,0.940413916013424,0.08949963431845219,0.8095238095238095,0.9047619047619048,115.17670072253422,176.14756311298746,622.255774346095,1761.7108019244129,104458.9796688873,19684,34,38,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Mean,33.84448303931061,69.34463781548665,57.89470969643382,1.3018441902213118,1.3100551815641315,0.12353067502795269,0.5714285714285714,0.6190476190476191,114.21695144931604,174.6797532641526,1421.468287651045,2431.5778072502208,201964.50933796284,19684,24,26,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,ETS,-34.33198449041035,86.59951889425706,75.80825103305122,1.6625679570910001,1.5961441668249623,0.16175302496383615,0.7857142857142857,0.9285714285714286,204.01055325405684,312.0072165602815,-1441.9433485972345,3183.9465433881505,314978.020254105,19684,33,39,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Naive,-34.33333333333334,86.60089079053567,75.80952380952382,1.662595645202678,1.5961694099178316,0.16175574070310914,0.6428571428571429,0.8571428571428571,172.0010493165218,263.0529047968675,-1442,3184,314988,19684,27,36,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Core,BRG-01,Drift,-51.390766381156205,99.07302478968765,84.01768806770522,1.8345671709676405,1.8210857880176365,0.17926960469638378,0.5952380952380952,0.8571428571428571,186.5836204572818,285.3550227968849,-2158.41218800856,3528.7428988436186,412249.4981210786,19684,25,36,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Seasonal_Naive,-8.119047619047619,66.58381756782019,54.595238095238095,1.0740415276424093,1.0196186425783742,0.09947507700316689,0.7619047619047619,0.9047619047619048,168.28045580497343,257.3627480526484,-341,2293,186203,23051,32,38,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Mean,-2.084996792115029,72.4334086982678,55.005108627005185,1.0802432016342212,1.1076993828925004,0.10022188027999729,0.6904761904761905,0.7857142857142857,148.4383506625336,227.01686693305973,-87.56986526883111,2310.2145623342176,220357.14521731247,23051,29,33,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ARIMA,-29.28309495611628,74.43811161859458,61.84796821334269,1.2192330148566484,1.1390989540969592,0.11268989045856544,0.5714285714285714,0.8571428571428571,150.67799827628005,230.44211237695944,-1229.8899881568832,2597.614664960392,232723.36337637852,23051,24,36,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,ETS,-44.26329047641189,87.38356662619269,67.71302450205758,1.3246198655953976,1.3271239488311657,0.1233762973010463,0.7619047619047619,0.9047619047619048,197.90260457462082,302.6659151620609,-1859.0582000092986,2843.9470290864183,320707.2840851988,23051,32,38,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Naive,-44.30952380952381,92.57339430599558,72.73809523809524,1.4180047400811122,1.3996829583683799,0.13253221118389658,0.8095238095238095,0.9047619047619048,246.26321345291,376.62708396730943,-1861,3055,359933,23051,34,38,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Compact,BRG-02,Drift,-47.21296925865517,96.1387994390917,75.6137038537101,1.4725116342911246,1.4515438314943836,0.13777170456187687,0.8333333333333334,0.9047619047619048,269.4715765900009,412.12121242205876,-1982.944708863517,3175.775561855824,388192.0878187758,23051,35,38,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,Mean,-3.7135538353272426,59.06909561756136,44.404744702478695,0.8090468407364325,0.8877998053100908,0.06957394902276001,0.8571428571428571,1,209.6018177061038,320.55831762299545,-155.96926108374396,1864.999277504105,146544.63839721744,26806,36,42,7,42,6,Seasonal
BRG,Industrial Bearings,Industrial Bearings Standard,BRG-03,ARIMA,4.979161273150128,84.59233549993752,72.08365102025286,1.2951712731208647,1.2430304718210021,0.11294163033838024,0.7380952380952381,0.9285714285714286,177.57121365791062,271.571736025053,209.12477347230515,3027.5133428506206,300546.2554640276,26806,31,39,7,42,6,Seasonal
